,Unnamed: 0,video_title
82,82,하이브 아니고 어도어라고 말하는 민지 혜인
83,83,160억 뉴진스 VS 1500억 아일릿
84,84,민희진 이사회 결과.. 벌써 하이브 떠난다고? ㅠㅠ
87,87,NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1)
88,88,NewJeans (뉴진스) 'Ditto' Performance Video
89,89,아일릿 뉴진스 카피🧅까도 까도 또 나오네
90,90,Hype 'V'oy with #BTS #V 🧸#NewJeans #뉴진스 #NewJeans_HypeBoy#Time_to_NewJeans
91,91,알고보면 소름돋는 뉴진스 데뷔 과정 ㄷㄷ
92,92,대퓨님 인스타에 올라온 뉴진스 #Hanni #ハニ #NewJeans
95,95,진심 한숨만 나온다는 뉴진스 신곡 뮤비;;
96,96,르세라핌 아직 정신 못차린듯
97,97,방시혁의 르세라핌 VS 민희진의 뉴진스 데뷔 당시 되돌아보기
98,98,[뉴진스] New Jeans + Super Shy +ETA + Cool with you + Get up 메들리 #shorts
99,99,'컨셉 유출?' 뉴진스 스타일리스트 협박한 하이브
100,100,헐.. 뉴진스와 민희진! 드디어 함께 하이브 탈출?!
101,101,뉴진스 Right Now MV Teaser 공개
104,104,"뉴진스 진짜 문제는 7월부터…미 언론도 ""통제력 잃을 것"" #뉴스다 / JTBC News"
105,105,[BE ORIGINAL] NewJeans(뉴진스) 'Attention' (4K)
106,106,민희진 광고업계 종사자가 올린 글
107,107,르세라핌으로 알아보는 '개저씨들' 취향
108,108,"뉴진스, 또 멕시코 걸그룹 진스(1996) 카피 논란, 사카탁(1982) 아일릿, 맥도날드 댄스논란까지"
109,109,뉴진스가 베꼈다는 멕시코 걸그룹 '진스'
110,110,"방시혁과 르세라핌, 그리고 뉴진스"
111,111,민희진이 숨겨놓은 소름돋는 영상들
112,112,뉴진스 민지가 박명수 앞에서 울컥한 이유
113,113,현재 뉴진스 OMG 역주행하는 이유
114,114,하이브 단월드 사태 뉴진스 - OMG 재해석
117,117,'뉴진스 험담' 메시지까지 여과 없이…'폭로전' 된 경영권 갈등 / JTBC 뉴스룸
118,118,실제로 뉴진스 부모님도 항의했다는 아일릿 뉴진스 조롱 장면 ㄷㄷ
119,119,안은진: 뉴진스하니가저를봤다니까요?
120,120,알고보면 소름돋는 뉴진스 데뷔 과정 ㄷㄷ
121,121,현재 논란의 중심이된 뉴진스 아이폰 무대
122,122,뉴진스 신곡 저격한 '아일릿 디렉터'
125,125,NewJeans(뉴진스) - New Jeans @인기가요 inkigayo 20230716
126,126,New Jeans
127,127,NewJeans 'New Jeans (ft. The Powerpuff Girls)' Lyrics (뉴진스 New Jeans 가사) (Color Coded Lyrics)
128,128,또 뉴진스 ‘안무 훔친' 아일릿..
129,129,이제서야 이해된다는 과거 뉴진스 행동들 ㄷㄷㄷ 소름주의
130,130,뉴진스 신곡 카피? 공개하자마자 저격당한 현재상황
131,131,'컨셉 유출?' 뉴진스 스타일리스트 협박한 하이브
134,134,민희진 기자회견에 대한 답변
135,135,뉴진스 첫 미국공연 관객반응ㄷㄷ 라이브 논란??
136,136,결국 헤어지게 될 것 같다는 뉴진스와 민희진..ㄷㄷ
137,137,뉴진스 민지가 박명수 앞에서 울컥한 이유
138,138,Hype boy - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220819 방송
139,139,NewJeans (뉴진스) 'Attention' Official MV (Performance ver.)
140,140,"뉴진스가 'Lucky Girl Syndrome'을 커버한다면? (원곡: 아일릿, AI 커버)"
141,141,뉴진스랑 뭐가 다르냐는 질문에 대답한 아일릿
142,142,뉴진스 하니 어머니가 민희진에게 준 '이것'
143,143,뉴진스 르세라핌 데뷔 당시 대우 비교해보자
146,146,뉴진스 사이비설.. 결국에 이것이었다..? 소름이라는 암호코드
147,147,"뉴진스, ‘Hype boy & Attention’ 축하공연 [제43회 청룡영화상 시상식] | KBS 221125 방송"
148,148,NewJeans (뉴진스) 'Hype Boy' Official MV (DANIELLE&HAERIN ver.)
149,149,[K-Choreo 8K HDR] 뉴진스 직캠 'New Jeans' (NewJeans Choreography) @MusicBank 230714
150,150,뉴진스 까계정 팔로우한 아일릿멤버?
151,151,뉴진스 베꼈다는(?) 아이돌 그룹
152,152,뉴진스 하니 어머니가 민희진에게 준 '이것'
153,153,쏘스뮤직 연습생이었다는 뉴진스 멤버들? #shorts
156,156,뉴진스 신곡 저격한 '아일릿 디렉터'
157,157,[NewJeans - Attention] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송
158,158,뉴진스 인사 무시? 소름이라는 이것;;
159,159,눈을 의심하게 만든 충격적인 아이돌 사진 TOP3 #아이브 #뉴진스
160,160,뉴진스와 르세라핌 이정도면 진짜 차별당한거 맞지?
161,161,'160억vs1500억' 뉴진스와 아일릿 데뷔 차별
162,162,민희진 진짜 뭐냐.. '뉴진스' 숙소 공개
165,165,뉴진스 다니엘 친언니 가수데뷔..! 목소리 닮았음ㄷㄷ
166,166,뉴진스를 공개 응원한 아이돌
167,167,이제 보니 소름돋는 뉴진스 ETA 가사 숨겨진 의미
168,168,뉴진스멤버들 오열중
169,169,아일릿 뉴진스 카피🧅까도 까도 또 나오네
